Tue 30 Jul 13:55:24 BST 2024

# packages in environment at /mnt/scratchc/bioinformatics/sawle01/software/miniforge3/envs/R:
#
# Name                    Version                   Build  Channel
r-rstudioapi              0.16.0            r43hc72bb7e_0    conda-forge
r-rsvd                    1.0.5             r43hc72bb7e_2    conda-forge
r-rtsne                   0.17              r43h7ce84a7_0    conda-forge
r-rversions               2.1.2             r43hc72bb7e_2    conda-forge
r-rvest                   1.0.4             r43hc72bb7e_0    conda-forge
r-sass                    0.4.9             r43ha503ecb_0    conda-forge
r-scales                  1.3.0             r43hc72bb7e_0    conda-forge
r-scattermore             1.2               r43ha503ecb_1    conda-forge
r-scatterpie              0.2.1             r43hc72bb7e_1    conda-forge
r-sctransform             0.4.1             r43h08d816e_0    conda-forge
r-selectr                 0.4_2             r43hc72bb7e_3    conda-forge
r-sessioninfo             1.2.2             r43hc72bb7e_2    conda-forge
r-seurat                  5.1.0             r43ha18555a_0    conda-forge
r-seuratobject            5.0.2             r43ha18555a_0    conda-forge
r-shadowtext              0.1.3             r43hc72bb7e_0    conda-forge
r-shape                   1.4.6.1           r43ha770c72_0    conda-forge
r-shiny                   1.8.1             r43h785f33e_0    conda-forge
r-sitmo                   2.0.2             r43ha503ecb_2    conda-forge
r-slam                    0.1_50            r43h1df0287_3    conda-forge
r-snow                    0.4_4             r43hc72bb7e_2    conda-forge
r-snowfall                1.84_6.3          r43hc72bb7e_0    conda-forge
r-sourcetools             0.1.7_1           r43ha503ecb_1    conda-forge
r-sp                      2.1_3             r43h57805ef_0    conda-forge
r-spam                    2.10_0            r43h9f9f741_0    conda-forge
r-spatstat.data           3.0_4             r43hc72bb7e_0    conda-forge
r-spatstat.explore        3.2_6             r43h57805ef_0    conda-forge
r-spatstat.geom           3.2_9             r43h57805ef_0    conda-forge
r-spatstat.random         3.2_3             r43ha503ecb_0    conda-forge
r-spatstat.sparse         3.0_3             r43h57805ef_0    conda-forge
r-spatstat.utils          3.0_4             r43h57805ef_0    conda-forge
r-squarem                 2021.1            r43hc72bb7e_2    conda-forge
r-statmod                 1.5.0             r43hd8f1df9_1    conda-forge
r-stringi                 1.8.3             r43h9facbd6_0    conda-forge
r-stringr                 1.5.1             r43h785f33e_0    conda-forge
r-styler                  1.10.2            r43hc72bb7e_0    conda-forge
r-survival                3.5_8             r43h57805ef_0    conda-forge
r-svglite                 2.1.3             r43h3d53355_1    conda-forge
r-sys                     3.4.2             r43h57805ef_1    conda-forge
r-systemfonts             1.0.5             r43haf97adc_0    conda-forge
r-tensor                  1.5             r43hc72bb7e_1005    conda-forge
r-testthat                3.2.1             r43ha503ecb_0    conda-forge
r-textshaping             0.3.7             r43hd87b9d6_0    conda-forge
r-tibble                  3.2.1             r43h57805ef_2    conda-forge
r-tidygraph               1.3.0             r43ha503ecb_0    conda-forge
r-tidyr                   1.3.1             r43ha503ecb_0    conda-forge
r-tidyselect              1.2.0             r43hc72bb7e_1    conda-forge
r-tidytree                0.4.6             r43hc72bb7e_0    conda-forge
r-tidyverse               2.0.0             r43h785f33e_1    conda-forge
r-timechange              0.3.0             r43ha503ecb_0    conda-forge
r-timedate                4032.109          r43hc72bb7e_1    conda-forge
r-tinytex                 0.50              r43hc72bb7e_0    conda-forge
r-tm                      0.7_13            r43ha18555a_0    conda-forge
r-tree                    1.0_43            r43hdb488b9_2    conda-forge
r-treemap                 2.4_4             r43hc72bb7e_1    conda-forge
r-truncnorm               1.0_9             r43h57805ef_1    conda-forge
r-tweenr                  2.0.3             r43ha503ecb_0    conda-forge
r-tzdb                    0.4.0             r43ha503ecb_1    conda-forge
r-umap                    0.2.10.0          r43h0d4f4ea_2    conda-forge
r-upsetr                  1.4.0             r43hc72bb7e_5    conda-forge
r-urlchecker              1.0.1             r43hc72bb7e_2    conda-forge
r-usethis                 2.2.3             r43hc72bb7e_0    conda-forge
r-utf8                    1.2.4             r43h57805ef_0    conda-forge
r-uuid                    1.2_0             r43h57805ef_0    conda-forge
r-uwot                    0.1.16            r43ha503ecb_0    conda-forge
r-vctrs                   0.6.5             r43ha503ecb_0    conda-forge
r-vipor                   0.4.7             r43hc72bb7e_0    conda-forge
r-viridis                 0.6.5             r43hc72bb7e_0    conda-forge
r-viridislite             0.4.2             r43hc72bb7e_1    conda-forge
r-vroom                   1.6.5             r43ha503ecb_0    conda-forge
r-waldo                   0.5.2             r43hc72bb7e_0    conda-forge
r-whisker                 0.4.1             r43hc72bb7e_1    conda-forge
r-withr                   3.0.0             r43hc72bb7e_0    conda-forge
r-wordcloud               2.6               r43ha503ecb_4    conda-forge
r-xfun                    0.44              r43ha18555a_0    conda-forge
r-xml                     3.99_0.17         r43he716329_1    conda-forge
r-xml2                    1.3.6             r43hbfba7a4_1    conda-forge
r-xmlparsedata            1.0.5             r43hc72bb7e_2    conda-forge
r-xopen                   1.0.0           r43hc72bb7e_1005    conda-forge
r-xtable                  1.8_4             r43hc72bb7e_5    conda-forge
r-yaml                    2.3.8             r43h57805ef_0    conda-forge
r-yulab.utils             0.1.4             r43hc72bb7e_0    conda-forge
r-zip                     2.3.1             r43h57805ef_0    conda-forge
r-zoo                     1.8_12            r43h57805ef_1    conda-forge
radian                    0.6.12             pyhd8ed1ab_0    conda-forge
rchitect                  0.4.6           py312h98912ed_0    conda-forge
readline                  8.2                  h8228510_1    conda-forge
sed                       4.8                  he412f7d_0    conda-forge
setuptools                69.2.0             pyhd8ed1ab_0    conda-forge
six                       1.16.0             pyh6c4a22f_0    conda-forge
snappy                    1.1.10               h9fff704_0    conda-forge
sysroot_linux-64          2.12                he073ed8_17    conda-forge
tk                        8.6.13          noxft_h4845f30_101    conda-forge
tktable                   2.10                 h0c5db8f_5    conda-forge
toml                      0.10.2             pyhd8ed1ab_0    conda-forge
tomlkit                   0.12.4             pyha770c72_0    conda-forge
tzdata                    2024a                h0c530f3_0    conda-forge
wcwidth                   0.2.13             pyhd8ed1ab_0    conda-forge
wheel                     0.43.0             pyhd8ed1ab_0    conda-forge
xmltodict                 0.13.0             pyhd8ed1ab_0    conda-forge
xorg-kbproto              1.0.7             h7f98852_1002    conda-forge
xorg-libice               1.1.1                hd590300_0    conda-forge
xorg-libsm                1.2.4                h7391055_0    conda-forge
xorg-libx11               1.8.7                h8ee46fc_0    conda-forge
xorg-libxau               1.0.11               hd590300_0    conda-forge
xorg-libxdmcp             1.1.3                h7f98852_0    conda-forge
xorg-libxext              1.3.4                h0b41bf4_2    conda-forge
xorg-libxrender           0.9.11               hd590300_0    conda-forge
xorg-libxt                1.3.0                hd590300_1    conda-forge
xorg-renderproto          0.11.1            h7f98852_1002    conda-forge
xorg-xextproto            7.3.0             h0b41bf4_1003    conda-forge
xorg-xproto               7.0.31            h7f98852_1007    conda-forge
xz                        5.2.6                h166bdaf_0    conda-forge
yaml                      0.2.5                h7f98852_2    conda-forge
yq                        3.2.3              pyhd8ed1ab_0    conda-forge
zlib                      1.2.13               hd590300_5    conda-forge
zstd                      1.5.5                hfc55251_0    conda-forge
